Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,MSE,MSE_derivative,95.6140350877193
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,94.73684210526315
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,98.24561403508771
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,MSE,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,96.49122807017544
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,97.36842105263158
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,93.85964912280701
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,96.49122807017544
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,MSE,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,92.98245614035088
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,95.6140350877193
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,95.6140350877193
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,MSE,MSE_derivative,96.49122807017544
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,MSE,MSE_derivative,96.49122807017544
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,MSE,MSE_derivative,94.73684210526315
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,MSE,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,MSE,MSE_derivative,95.6140350877193
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",ReLU,MSE,MSE_derivative,97.36842105263158
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,96.49122807017544
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",sigmoid,MSE,MSE_derivative,96.49122807017544
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",ReLU,MSE,MSE_derivative,64.91228070175438
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,98.24561403508771
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,98.24561403508771
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,78.0701754385965
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,MSE_derivative,98.24561403508771
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,MSE,MSE_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,MSE_derivative,97.36842105263158
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,MSE_derivative,95.6140350877193
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,MSE,MSE_derivative,92.98245614035088
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,MSE,MSE_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,MSE,MSE_derivative,84.21052631578947
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,MSE,MSE_derivative,98.24561403508771
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,MSE,binary_cross_entropy_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,MSE,binary_cross_entropy_derivative,94.73684210526315
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,95.6140350877193
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,94.73684210526315
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,MSE,binary_cross_entropy_derivative,37.719298245614034
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,96.49122807017544
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,97.36842105263158
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,MSE,binary_cross_entropy_derivative,95.6140350877193
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,MSE,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,95.6140350877193
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,MSE,binary_cross_entropy_derivative,83.33333333333334
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,MSE,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,MSE,binary_cross_entropy_derivative,53.50877192982456
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,MSE,binary_cross_entropy_derivative,60.526315789473685
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,94.73684210526315
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,95.6140350877193
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,94.73684210526315
