Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,94.73684210526315
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,90.35087719298247
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,93.85964912280701
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,92.10526315789474
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,97.36842105263158
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,92.98245614035088
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,94.73684210526315
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,98.24561403508771
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,98.24561403508771
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,96.49122807017544
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,98.24561403508771
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,98.24561403508771
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,99.12280701754386
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,70.17543859649122
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,85.96491228070175
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,86.8421052631579
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,48.24561403508772
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,96.49122807017544
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,98.24561403508771
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,84.21052631578947
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,85.08771929824562
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,77.19298245614034
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'ReLU']","['ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,98.24561403508771
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,95.6140350877193
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,94.73684210526315
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,94.73684210526315
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,98.24561403508771
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,89.47368421052632
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,92.10526315789474
                        'Hidden Size': hidden_size,
                        'Learning Rate': learning_rate,